fin_year,month,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Dec,TAMIL NADU,2923,RAMANATHAPURAM,3008398,245.3593126,25,4032,2254.009292,7562,0,10180,3947122,966498,63050,273,22,302.52877,12241.16947,152032,162757,199728,246522,91,224556,273815,17742,9684.631407,3484401,57,55.18,63.27,100,0
2025-2026,Dec,TAMIL NADU,2924,VIRUDHUNAGAR,3646235,267.243238,25,3529,2326.234622,4127,0,5161,3822598,1072142,76479,1308,164,279.43614,12821.30543,147329,156997,218215,268103,226,249731,302458,9288,10215.63467,3297319,30,43.64,81.29,100,0
2025-2026,Dec,TAMIL NADU,2925,SIVAGANGAI,3107936,267.3262424,28,2312,4134.409826,5362,0,9625,4011743,814277,45819,269,19,366.03206,15224.8837,141440,147830,186740,222014,60,203088,239992,14987,10724.44182,3656892,36,67.26,68.7,100,0
2025-2026,Dec,TAMIL NADU,2927,THOOTHUKKUDI,2419391,266.1450905,26,1952,1809.761402,4195,0,6027,2959502,966330,59373,1648,163,356.58009,10042.91077,112482,119125,151998,180318,114,173131,215144,10222,7876.569275,2625308,31,54.84,58.22,100,0
2025-2026,Dec,TAMIL NADU,2931,ARIYALUR,1665829,281.5928292,15,1341,1541.309541,4670,0,3612,2263160,480009,55570,29048,2967,137.28864,8051.494454,141870,165890,178884,251375,93,190619,264379,8282,6372.896273,1826736,48,60.97,65,100,0
2025-2026,Dec,TAMIL NADU,2936,TENKASI,1515648,294.1963559,21,1471,1213.881577,5585,0,2959,1752200,506702,61082,441,74,181.66526,6550.455385,83377,91954,137460,186546,59,162337,215044,8544,5154.908548,1432957,59,30.49,63.87,100,0
2025-2026,Dec,TAMIL NADU,2937,KALLAKURICHI,2333487,282.334326,19,3549,4289.108897,11281,0,8515,4545990,1410492,160453,158605,21186,268.77783,17392.77695,230016,292863,298130,510701,134,318257,535293,19796,12834.89023,3425097,46,47.48,53.26,100,0
2025-2026,Dec,TAMIL NADU,2912,THE NILGIRIS,324052,333.8636526,25,159,311.8505686,3023,0,2017,312488,98812,11886,45371,3993,103.84341,1458.977829,12277,13186,31759,40429,12,56293,68758,5040,1043.283851,248169,87,27.63,26.06,100,0
2025-2026,Dec,TAMIL NADU,2913,THANJAVUR,2512535,250.0108375,21,2841,2059.714867,9469,0,8055,4204472,1240663,114777,2822,135,440.41427,13011.7648,199280,226338,269846,361183,204,295805,390016,17524,10511.63566,3601972,48,68.01,66.45,100,0
2025-2026,Dec,TAMIL NADU,2917,KARUR,1660652,298.3885228,26,1482,692.9081417,4902,0,3384,2122584,485157,36694,291,26,164.28282,7190.738004,80422,85551,124857,156176,124,143476,178690,8286,6333.547042,1861073,61,54.14,90.55,100,0
2025-2026,Dec,TAMIL NADU,2921,THENI,856216,310.5016565,19,953,792.2656937,3648,0,2742,1033220,250421,25541,3724,207,135.58081,4136.011719,52822,56879,85902,104738,31,117050,139077,6390,3208.165216,866368,52,56.19,67.96,100,0
2025-2026,Dec,TAMIL NADU,2927,THOOTHUKKUDI,2419391,267.4445047,26,1952,1859.986402,4241,0,6056,2960611,966583,59381,1656,163,356.69796,10134.67579,112495,119138,152006,180330,114,173142,215158,10297,7917.991425,2626335,31,54.96,58.35,100,0
2025-2026,Dec,TAMIL NADU,2928,KANNIYAKUMARI,474389,306.1201233,31,382,578.4773512,3402,1,1584,744573,60759,4166,10383,442,143.9587,3001.723837,23991,25280,39710,49942,37,77741,96414,4986,2279.287786,612718,69,60.61,59.79,100,0
2025-2026,Dec,TAMIL NADU,2921,THENI,856216,309.42754,19,949,771.9482137,3611,0,2752,1019473,247579,25535,3704,207,135.58081,4062.059249,52611,56631,85885,104719,31,117040,139067,6363,3154.530225,855055,52,55.78,67.69,100,0
2025-2026,Dec,TAMIL NADU,2922,DINDIGUL,3371262,306.4251579,26,3920,4309.878949,14074,0,8932,5262328,1289701,83746,4728,392,548.08213,20983.05796,195240,208003,284764,345377,205,317031,380030,23006,16125.09688,4530817,69,58.5,80.02,100,0
2025-2026,Dec,TAMIL NADU,2925,SIVAGANGAI,3107936,268.4960562,28,2305,4134.409826,5351,0,9620,3972783,807300,45822,269,19,366.03206,15167.20756,141084,147414,186743,222020,60,203086,239991,14971,10666.76568,3621366,36,67.18,68.62,100,0
2025-2026,Dec,TAMIL NADU,2935,TIRUPATHUR,1385127,283.1321157,20,1010,729.7102999,6928,0,5392,1736049,321290,25877,41341,5237,171.22481,5816.247373,84796,89442,131008,151809,17,143997,167740,12320,4915.312263,1586712,68,35.82,64.83,100,0
2025-2026,Dec,TAMIL NADU,2902,TIRUVALLUR,4787937,243.9938666,28,2607,2522.670305,10508,0,12864,5812697,2086536,119272,196528,8929,421.42112,17126.71559,203341,209314,268305,315600,226,313776,381637,23372,14182.62416,5282133,50,40.04,69.59,100,0
2025-2026,Dec,TAMIL NADU,2907,SALEM,2295126,280.8630618,18,2929,4628.648893,12136,0,6820,3367141,624995,80209,287143,30338,433.32541,14519.02961,185211,194837,341707,421918,101,436515,528099,18956,9457.055307,2996933,54,31.35,57.95,100,0
2025-2026,Dec,TAMIL NADU,2908,NAMAKKAL,1644309,286.3535451,23,2568,1394.812882,6158,0,5447,2520168,686032,63666,191562,20740,318.17596,8929.579252,109255,114922,182578,227826,115,221088,277113,11605,7216.590411,2244096,29,53.31,77.81,100,0
2025-2026,Dec,TAMIL NADU,2926,TIRUNELVELI,1374374,290.1874864,28,404,1648.442385,4075,0,3973,1442175,378326,34060,1592,140,182.0625,6015.516267,50231,51871,97384,114844,116,120877,140548,8048,4185.011382,1309804,44,41.62,62.18,100,0
2025-2026,Dec,TAMIL NADU,2930,KRISHNAGIRI,3441643,276.9674448,24,2144,3519.023588,9477,0,7269,4277707,579942,38950,38848,2832,373.13005,15740.00941,171113,178571,256815,288198,186,297348,335531,16746,11847.85577,3912461,66,49.26,68.25,100,0
2025-2026,Dec,TAMIL NADU,2932,TIRUPPUR,1853518,280.2416549,33,515,1275.979644,5942,0,4023,2323532,827468,61523,1398,210,184.97209,7972.456262,70255,72594,133035,157168,640,176590,227129,9965,6511.504528,2007557,42,40.13,79.98,100,0
2025-2026,Dec,TAMIL NADU,2938,MAYILADUTHURAI,1125611,273.097922,13,684,1577.348458,5108,0,5067,1204182,555811,103271,867,272,143.99792,5009.942397,91387,113138,151502,227551,14,160340,237478,10175,3288.596019,944254,62,48.93,48.63,100,0
2025-2026,Dec,TAMIL NADU,2904,VILLUPURAM,6017145,255.7436412,23,9696,3870.718296,13917,0,9947,8025436,2326851,177336,107242,6955,535.73546,24930.996,347890,383675,430874,602316,260,462216,646412,23864,20524.54225,6605453,57,57.16,63.97,100,0
2025-2026,Dec,TAMIL NADU,2907,SALEM,2295126,279.5100021,18,2926,4571.827603,12110,0,6791,3345709,621438,80241,284490,30338,433.32541,14356.74431,184662,194244,341770,422037,101,436558,528192,18901,9351.591297,2978089,54,31.2,57.84,100,0
2025-2026,Dec,TAMIL NADU,2908,NAMAKKAL,1644309,283.8722241,22,2557,1323.416168,6157,0,5420,2466959,673783,63653,186420,20738,318.17596,8644.603508,108764,114343,182531,227767,108,221068,277080,11577,7003.01138,2196680,29,52.81,77.4,100,0
2025-2026,Dec,TAMIL NADU,2915,TIRUVARUR,1068294,298.4169218,12,846,1860.175911,8793,0,4529,868746,387512,143349,115,39,308.09564,4760.756622,67256,78216,178840,269321,16,197159,291298,13322,2592.485071,673205,50,31.87,30.09,100,0
2025-2026,Dec,TAMIL NADU,2918,PERAMBALUR,1535495,284.5782325,16,1167,904.4532941,2045,0,2298,1568536,458404,55481,7302,497,103.39304,5471.55836,92719,103886,123602,176140,32,143631,199024,4343,4463.712026,1323079,55,58.94,66.54,100,0
2025-2026,Dec,TAMIL NADU,2930,KRISHNAGIRI,3441643,275.9523623,24,2132,3450.70398,9453,0,6911,4203637,568045,38944,38258,2832,373.13005,15423.86963,170291,177668,256762,288138,174,297301,335478,16364,11600.0356,3844991,65,48.97,67.88,100,0
2025-2026,Dec,TAMIL NADU,2932,TIRUPPUR,1853518,275.5137161,32,513,1220.515847,5900,0,4045,2314563,823985,61535,1398,210,184.97209,7782.42647,70181,72516,133043,157184,630,176604,227153,9945,6376.938533,1999485,42,40.1,79.81,100,0
2025-2026,Dec,TAMIL NADU,2904,VILLUPURAM,6017145,255.7596574,23,9699,3887.14073,13917,0,9994,8044904,2330628,177430,107698,6955,535.73546,24998.4951,348022,383844,430961,602524,260,462432,646861,23911,20575.61891,6621537,57,57.2,64.01,100,0
2025-2026,Dec,TAMIL NADU,2907,SALEM,2295126,278.9627618,18,2929,4592.786049,12116,0,6835,3362064,624110,80253,285861,30343,433.32541,14405.01805,185126,194746,341824,422100,101,436564,528203,18951,9378.906587,2992447,54,31.27,57.95,100,0
2025-2026,Dec,TAMIL NADU,2908,NAMAKKAL,1644309,285.4416553,22,2564,1378.241844,6157,0,5432,2492539,680436,63662,186476,20738,318.17596,8811.162384,108934,114538,182569,227812,112,221069,277085,11589,7114.744581,2219645,29,52.98,77.62,100,0
2025-2026,Dec,TAMIL NADU,2909,DHARMAPURI,2810840,285.1839258,19,1982,2064.746109,8237,0,9204,3458840,468837,37953,122537,8478,268.25972,12197.06153,175378,184825,243934,279018,143,278799,316201,17441,9864.055701,3192120,59,68.47,74.06,100,0
2025-2026,Dec,TAMIL NADU,2911,COIMBATORE,452232,314.1332014,25,152,1252.165031,5018,0,2955,821234,310143,29141,19225,1872,209.92733,4041.861016,32111,32678,75387,84392,38,110155,123314,7973,2579.768655,751692,53,67.36,68.32,100,0
2025-2026,Dec,TAMIL NADU,2913,THANJAVUR,2512535,248.5516222,21,2869,2078.822567,9511,0,8076,4339015,1279074,114787,2864,134,440.41427,13303.92901,201009,228652,269873,361221,238,295819,390042,17587,10784.69217,3716629,48,68.63,67.12,100,0
2025-2026,Dec,TAMIL NADU,2914,NAGAPATTINAM,874856,296.0308989,14,477,1606.92706,6055,0,2907,939462,413971,81961,863,246,137.79633,4525.821193,63361,72325,107104,164467,38,119887,179654,8962,2781.097804,751440,72,38,40.24,100.01,0
2025-2026,Dec,TAMIL NADU,2916,TIRUCHIRAPPALLI,2575940,281.0028562,16,4690,2059.9194,8951,0,5318,3876602,814148,83592,42907,5129,306.48583,13259.76758,232376,247339,304460,378175,69,327012,407465,14269,10893.36235,3384922,46,55.42,70.24,100,0
2025-2026,Dec,TAMIL NADU,2927,THOOTHUKKUDI,2419391,265.0797126,26,1957,1905.618461,4271,0,6069,3024762,988333,59397,1696,163,356.70975,10280.35863,113051,119796,152061,180409,120,173158,215194,10340,8018.030417,2681835,31,55.34,58.71,100,0
2025-2026,Dec,TAMIL NADU,2935,TIRUPATHUR,1385127,280.3278143,21,1030,737.9638328,7045,0,5457,1826682,334789,25908,43343,5250,171.22481,6029.886368,86129,90941,131086,151926,21,144097,167897,12502,5120.697725,1669705,68,36.74,65.92,100,0
2025-2026,Dec,TAMIL NADU,2936,TENKASI,1515648,293.3235123,21,1475,1218.421978,5658,0,2945,1773969,514080,61045,446,74,181.66526,6603.555416,83613,92238,137434,186433,66,162303,214914,8603,5203.468178,1449728,58,30.74,64.09,100,0
2025-2026,Dec,TAMIL NADU,2902,TIRUVALLUR,4787937,243.7149799,28,2607,2559.4457,10573,0,12830,5818175,2087944,119269,196893,8929,421.42112,17160.63085,203363,209337,268305,315600,226,313799,381661,23403,14179.76403,5287152,50,39.98,69.51,100,0
2025-2026,Dec,TAMIL NADU,2903,CUDDALORE,5878235,264.3720333,20,5698,4773.08944,9642,0,13301,6613221,2389325,254554,38565,3554,531.53585,22788.13212,323580,385915,422748,683527,77,474006,745828,22943,17483.50683,5355810,50,62.97,68.83,100,0
2025-2026,Dec,TAMIL NADU,2905,VELLORE,1301298,287.7157513,20,1194,1614.519074,8178,0,6134,1667817,466375,38330,43670,4677,194.7417,6607.832986,80768,84802,133863,157301,6,148314,188476,14312,4798.572211,1480959,70,22.69,51.74,100,0
2025-2026,Dec,TAMIL NADU,2910,ERODE,1440211,296.464703,24,1749,1527.804302,6948,0,4098,1835852,476329,45487,22021,2935,239.83178,7210.289262,73481,75536,139592,162334,184,190934,223140,11046,5442.65318,1541623,57,59.4,71.46,100,0
2025-2026,Dec,TAMIL NADU,2911,COIMBATORE,452232,314.2568847,25,152,1252.165031,5043,0,2930,824543,311687,29141,19361,1872,209.92733,4053.275506,32131,32699,75389,84394,39,110155,123314,7973,2591.183145,754711,53,67.43,68.39,100,0
2025-2026,Dec,TAMIL NADU,2916,TIRUCHIRAPPALLI,2575940,281.7246385,16,4694,2062.734405,8982,0,5297,3885831,816299,83532,42907,5129,306.48583,13316.56357,232485,247464,304377,378026,69,326917,407303,14279,10947.34334,3393051,46,55.48,70.28,100,0
2025-2026,Dec,TAMIL NADU,2935,TIRUPATHUR,1385127,282.8189159,21,1041,737.9638328,7066,0,5439,1844399,338130,25912,43478,5249,171.22481,6125.4979,86639,91499,131112,151956,21,144106,167906,12505,5216.309257,1686099,68,36.97,66.17,100,0
2025-2026,Dec,TAMIL NADU,2937,KALLAKURICHI,2333487,281.5678256,20,3577,4703.984114,11313,0,8701,4679313,1454035,160525,162353,21213,268.81182,18148.2358,231887,295951,298318,511062,141,318337,535506,20014,13175.43986,3525409,46,48.1,54.07,100,0
2025-2026,Dec,TAMIL NADU,2938,MAYILADUTHURAI,1125611,273.7019714,13,684,1577.348458,5094,0,5073,1194949,551561,103269,862,272,143.99792,4991.945349,91100,112715,151500,227540,13,160328,237453,10167,3270.59897,937193,62,48.78,48.48,100,0
2025-2026,Jan,TAMIL NADU,2906,TIRUVANNAMALAI,9498812,207.8405787,28,15635,7193.984017,13937,0,10521,11724615,2660949,146622,372800,27628,762.27213,32324.76381,418359,454450,507189,645966,696,535349,676347,24458,24368.50766,9783741,45,62.81,68.78,100,0
2025-2026,Jan,TAMIL NADU,2905,VELLORE,1398110,286.7415249,21,1314,2508.194815,8994,0,5687,2000176,552238,38381,54440,4696,267.02199,8510.551967,91331,96092,134128,157624,22,148451,188647,14681,5735.335162,1777846,68,29.26,56.28,100,0
2025-2026,Jan,TAMIL NADU,2901,KANCHIPURAM,1242090,294.2459318,23,1049,1247.673721,5948,0,3298,2011315,771431,57391,37573,2574,329.07255,7494.958834,86625,89979,129288,157814,448,142317,178895,9246,5918.212562,1756051,62,47.7,64.57,100,0
2025-2026,Dec,TAMIL NADU,2908,NAMAKKAL,1644309,288.4435556,25,2617,2034.296316,6199,0,5537,2805934,758442,63708,216609,20759,466.06472,10593.89683,111316,117264,182725,228011,185,221144,277182,11736,8093.535799,2499507,29,55.44,79.46,100,0
2025-2026,Dec,TAMIL NADU,2910,ERODE,1440211,296.630639,26,1772,2046.306454,7278,0,4239,2033240,524696,45081,23881,2929,352.50775,8430.027009,75597,77771,138812,161178,325,190066,221873,11517,6031.212805,1708751,55,60.82,73.16,100,0
2025-2026,Dec,TAMIL NADU,2911,COIMBATORE,452232,314.6221949,27,154,1531.750157,5268,0,2786,906564,343275,29149,22421,1873,234.24434,4618.246052,32976,33567,75427,84436,61,110172,123331,8054,2852.251555,830671,53,69.33,70.29,100,0
2025-2026,Dec,TAMIL NADU,2922,DINDIGUL,3371262,306.6376791,30,3988,6077.135859,14458,0,9224,6274407,1525738,83916,6034,397,661.70086,25978.53272,203491,217490,285434,346222,667,317493,380652,23682,19239.696,5415221,68,62.54,82.05,100,0
2025-2026,Dec,TAMIL NADU,2925,SIVAGANGAI,3107936,271.1953588,32,2365,6276.037955,6079,0,9666,4642438,937209,45888,289,19,489.83226,19355.94661,144264,151161,187058,222460,183,203347,240360,15745,12590.07639,4233160,35,70.31,71.73,100,0
2025-2026,Dec,TAMIL NADU,2926,TIRUNELVELI,1374374,290.6402857,29,406,2637.970588,4255,0,3893,1522176,396019,34072,1709,140,265.99925,7328.026514,50786,52448,97434,114907,233,120915,140601,8148,4424.056675,1382005,43,42.4,62.88,100,0
2025-2026,Dec,TAMIL NADU,2930,KRISHNAGIRI,3441643,276.8245635,27,2232,5352.26002,9816,0,7197,4812237,649733,38975,45355,2834,516.20773,19189.92182,176585,184472,257109,288576,322,297589,335851,17013,13321.45407,4406164,65,51.2,70.46,100,0
2025-2026,Dec,TAMIL NADU,2932,TIRUPPUR,1853518,280.3895455,35,523,1738.453536,6179,0,4039,2560963,914249,61594,1583,210,209.47709,9128.603141,72119,74588,133158,157335,1039,176667,227237,10218,7180.672516,2217962,41,41.3,80.9,100,0
2025-2026,Dec,TAMIL NADU,2933,CHENGALPATTU,2357454,303.8460156,29,2938,2323.388424,9633,0,6527,4086877,1734862,99912,88349,4227,293.96756,15035.16891,137698,143689,190354,231231,664,213648,269994,16160,12417.81293,3616566,56,38.95,71.03,100,0
2025-2026,Jan,TAMIL NADU,2908,NAMAKKAL,1808462,288.4331697,25,2617,2038.770386,6213,0,5544,2807031,758746,63709,216609,20758,466.06472,10601.24359,111323,117271,182725,228013,186,221144,277184,11757,8096.408489,2500482,28,55.45,79.46,100,0
2025-2026,Jan,TAMIL NADU,2909,DHARMAPURI,3265437,288.1239625,22,2085,3019.757232,9663,0,8273,4164777,564051,38006,144074,8498,375.39107,15394.86882,184704,195168,244512,279724,242,279128,316637,17936,11999.72052,3846331,58,71.35,77.18,100,0
2025-2026,Jan,TAMIL NADU,2915,TIRUVARUR,1159878,289.0765298,13,1036,2529.297293,9007,0,4653,1109552,511406,140055,124,39,468.23358,6204.985291,81679,95471,176966,264107,20,194912,285584,13660,3207.454418,858544,50,36.95,35.5,100,0
2025-2026,Jan,TAMIL NADU,2922,DINDIGUL,3748485,306.8817363,30,3993,6078.995859,14462,0,9297,6288738,1526806,83920,6034,397,661.70086,26039.68508,203614,217653,285488,346296,667,317525,380703,23759,19298.98836,5428343,68,62.65,82.1,100,0
2025-2026,Jan,TAMIL NADU,2924,VIRUDHUNAGAR,4100069,268.3150855,28,3613,3131.409414,4670,0,5540,4348033,1221035,76625,1842,168,341.55222,15139.3901,151871,162367,218576,268580,371,249825,302632,10210,11666.42846,3750671,28,46.58,83.03,100,0
2025-2026,Jan,TAMIL NADU,2927,THOOTHUKKUDI,2650770,268.1853484,28,1982,3325.089264,4689,0,6008,3302633,1077660,59491,1852,163,356.70975,12538.97683,114546,121560,152243,180663,178,173315,215448,10697,8857.177816,2924763,30,57.44,60.85,100,0
2025-2026,Jan,TAMIL NADU,2918,PERAMBALUR,1737128,286.5202839,17,1184,1160.708072,2119,0,2369,1694207,499081,55529,7411,497,137.80425,6152.759028,94440,106076,123700,176287,46,143720,199145,4488,4854.246706,1423741,55,59.34,67.56,100,0
2025-2026,Jan,TAMIL NADU,2924,VIRUDHUNAGAR,4100069,268.3150855,28,3613,3131.409414,4686,0,5541,4348033,1221035,76625,1842,168,341.55222,15139.3901,151871,162367,218576,268580,371,249825,302632,10227,11666.42846,3750671,28,46.58,83.03,100,0
2025-2026,Jan,TAMIL NADU,2931,ARIYALUR,1875751,283.0496181,17,1393,2634.116118,5197,0,3470,2637058,556688,55326,32974,2958,137.28864,10235.58736,146579,172642,178612,250650,354,190268,263580,8667,7464.182598,2117477,48,64.58,68.36,100,0
2025-2026,Jan,TAMIL NADU,2935,TIRUPATHUR,1559922,280.9133316,23,1102,1057.884957,7336,0,5393,2138649,396745,25933,49215,5257,171.22481,7236.859924,91390,96695,131322,152204,35,144189,168009,12729,6007.750157,1955417,66,39.93,68.95,100,0
2025-2026,Jan,TAMIL NADU,2906,TIRUVANNAMALAI,9498812,207.1000997,29,15716,7201.697877,14303,0,10500,12368437,2805594,145570,391722,27570,762.36695,33579.11019,421476,458732,504370,641750,738,532534,672154,24803,25615.04536,10328041,45,64.03,69.87,100,0
2025-2026,Jan,TAMIL NADU,2908,NAMAKKAL,1808462,289.1089458,26,2646,2073.696149,7292,0,4513,2973669,798868,63736,231916,20770,491.15676,11161.99601,112345,118453,182826,228145,225,221191,277252,11805,8597.143097,2648266,28,56.27,79.96,100,0
2025-2026,Jan,TAMIL NADU,2913,THANJAVUR,2717375,250.2900853,24,3024,3325.746837,10382,0,7981,5204031,1536710,113297,3129,129,647.09424,16998.01471,208966,239396,268823,358253,379,294647,386923,18363,13025.17363,4456652,47,72.37,71.03,100,0
2025-2026,Jan,TAMIL NADU,2915,TIRUVARUR,1159878,285.4462738,13,1092,2612.119028,9117,0,4618,1196085,556066,139535,124,38,492.16231,6518.461401,86440,101262,176731,263308,20,194633,284741,13735,3414.180064,925660,50,37.73,36.16,100,0
2025-2026,Jan,TAMIL NADU,2918,PERAMBALUR,1737128,286.3201863,18,1185,1182.995854,2161,0,2377,1754174,516301,55543,7495,497,145.78978,6351.3399,94982,106806,123748,176346,48,143724,199152,4538,5022.554266,1472060,55,59.69,68.22,100,0
2025-2026,Jan,TAMIL NADU,2922,DINDIGUL,3748485,306.0290534,32,4034,6100.068676,14914,0,8995,6670588,1616830,84019,6433,397,661.70086,27175.70685,206832,221412,285839,346748,678,317766,381029,23909,20413.93731,5761516,67,64.17,82.81,100,0
2025-2026,Jan,TAMIL NADU,2927,THOOTHUKKUDI,2650770,268.1186432,29,1998,3337.088763,4927,0,5918,3443633,1119531,59530,1904,163,389.54815,12959.65899,115296,122469,152337,180782,180,173385,215531,10845,9233.022077,3047271,30,58.24,61.61,100,0
2025-2026,Jan,TAMIL NADU,2930,KRISHNAGIRI,3808837,274.8905543,28,2282,5373.999355,9953,0,7186,5083441,687001,38982,48141,2838,516.20773,19864.10623,179207,187309,257172,288674,322,297688,335989,17139,13973.89914,4656821,64,51.69,71.11,100,0
2025-2026,Jan,TAMIL NADU,2934,RANIPET,2489565,279.6359333,29,1882,2243.388602,7322,0,4350,4036969,1028544,55173,58717,2457,284.54781,13816.75235,134958,145781,160422,222131,361,185437,251271,11672,11288.81594,3640238,53,46.92,69.5,100.01,0
2025-2026,Jan,TAMIL NADU,2907,SALEM,2495489,278.1087959,19,3014,6948.583638,12686,0,6684,3777482,697523,79908,319037,30130,594.6656,18048.75894,192382,202663,340820,420552,140,435566,526646,19370,10505.50971,3363820,53,31.68,58.48,100,0
2025-2026,Jan,TAMIL NADU,2910,ERODE,1628194,294.2711157,27,1785,2053.721644,7484,0,4179,2109459,543240,44978,24619,2917,352.50775,8613.757929,76370,78607,138587,160864,344,189849,221560,11663,6207.528535,1773390,54,61.23,73.68,100,0
2025-2026,Jan,TAMIL NADU,2915,TIRUVARUR,1159878,286.339587,13,1080,2612.119028,9108,0,4624,1166555,540373,139608,124,38,488.74878,6441.176577,84799,99272,176768,263429,20,194680,284864,13732,3340.308769,902724,50,37.14,35.54,100,0
2025-2026,Jan,TAMIL NADU,2917,KARUR,1828873,296.3795825,30,1524,847.0695568,5461,0,3050,2548300,586521,36765,345,26,256.73233,8656.442788,83356,88925,125048,156468,268,143588,178891,8511,7552.640902,2232908,60,57.31,91.77,100,0
2025-2026,Jan,TAMIL NADU,2919,PUDUKKOTTAI,5304987,266.59167,28,1604,5034.646613,8838,0,9356,6494523,1156176,82499,6259,112,617.99593,22966.49987,231594,249190,295799,427048,204,335406,477937,18194,17313.85733,5864976,42,51.46,80.06,100,0
2025-2026,Jan,TAMIL NADU,2924,VIRUDHUNAGAR,4100069,265.8022709,29,3646,3135.1077,4761,0,5583,4510379,1263833,76543,1959,169,356.3503,15480.14781,153000,163764,218504,268454,382,249658,302408,10344,11988.68981,3892074,28,46.89,83.53,100,0
2025-2026,Jan,TAMIL NADU,2930,KRISHNAGIRI,3808837,275.0634247,28,2261,5373.999355,9923,0,7208,5022193,679060,38978,47698,2836,516.20773,19704.42314,178658,186700,257141,288632,322,297630,335911,17131,13814.21606,4600410,64,51.71,71.12,100,0
2025-2026,Jan,TAMIL NADU,2934,RANIPET,2489565,279.3622552,29,1877,2243.388602,7314,0,4342,3969843,1010761,55168,58263,2457,284.54781,13618.17935,134425,145177,160346,222056,354,185430,251266,11656,11090.24293,3579152,53,46.94,69.32,100.01,0
2025-2026,Jan,TAMIL NADU,2938,MAYILADUTHURAI,1245046,271.9166892,14,723,1775.710425,5436,0,5099,1357248,624222,101787,919,263,143.99792,5610.292171,96187,119876,150522,224768,18,159350,234674,10535,3690.583826,1064181,63,51.53,51.26,100,0
2025-2026,Jan,TAMIL NADU,2903,CUDDALORE,6571236,265.1949783,22,5868,7079.402998,11002,0,12651,7399859,2651849,254809,43775,3570,561.17995,27264.63742,334136,401550,423459,684813,114,474560,746890,23653,19624.05447,5990457,50,64.74,70.2,100,0
2025-2026,Jan,TAMIL NADU,2906,TIRUVANNAMALAI,9498812,208.631691,29,15720,7201.697877,14343,0,10498,12394877,2812375,145574,392378,27570,762.36695,33823.70631,421580,458910,504368,641764,738,532528,672160,24841,25859.64148,10349917,45,64.06,69.9,100,0
2025-2026,Jan,TAMIL NADU,2902,TIRUVALLUR,5590868,245.2014536,32,2674,4215.178422,12349,0,11710,6855347,2453195,119106,230300,8927,597.04325,21621.63216,207934,214395,268150,315390,337,313276,381071,24059,16809.41049,6231979,49,41.16,72.27,100,0
2025-2026,Jan,TAMIL NADU,2908,NAMAKKAL,1808462,289.4478433,26,2646,2075.861309,7324,0,4484,2973669,798868,63736,231916,20770,491.15676,11174.23886,112345,118453,182826,228145,225,221191,277252,11808,8607.220787,2648266,28,56.27,79.96,100,0
2025-2026,Jan,TAMIL NADU,2912,THE NILGIRIS,351138,332.5857846,27,169,409.1050135,3241,0,1990,371385,113736,11914,58705,4059,150.82219,1795.10092,13320,14324,31918,40588,41,56267,68699,5231,1235.173716,295938,87,28.01,28.17,100,0
2025-2026,Jan,TAMIL NADU,2917,KARUR,1828873,297.8116786,30,1529,847.0695568,5601,0,2914,2584103,594221,36768,345,26,256.73233,8799.562408,83508,89111,125062,156486,283,143599,178907,8515,7695.760522,2264422,60,57.55,91.69,100,0
2025-2026,Jan,TAMIL NADU,2920,MADURAI,4468441,278.3924969,29,4071,6733.764889,12897,0,7264,6516488,1351690,64675,10618,644,524.44194,25399.62048,222322,237635,267835,312516,154,294352,351720,20161,18141.41365,5772441,53,59.53,67.21,100,0
2025-2026,Jan,TAMIL NADU,2924,VIRUDHUNAGAR,4100069,267.8810508,29,3659,3236.050171,4791,0,5569,4597173,1292558,76548,2114,169,370.80949,15921.815,153612,164501,218544,268488,392,249640,302384,10360,12314.95534,3967337,28,46.96,83.64,100,0
2025-2026,Jan,TAMIL NADU,2930,KRISHNAGIRI,3808837,276.5813825,28,2282,5373.999355,9954,0,7184,5098506,690122,38982,48219,2838,516.20773,19991.72547,179329,187445,257179,288682,322,297692,335994,17138,14101.51838,4670385,64,51.72,71.17,100,0
2025-2026,Jan,TAMIL NADU,2933,CHENGALPATTU,2516456,303.4361504,31,2988,2330.130318,9934,0,6613,4349572,1848476,99983,92954,4231,403.81102,15932.11517,139372,145608,190476,231396,723,213745,270131,16547,13198.17384,3851025,55,40.09,72.09,100,0
